connectionId,positive_similarity_results,negative_similarity_results
179067,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9013513766583083], 'mean_sim': np.float64(0.9013513766583083)}}","{'irritatie': {'n_occurrences': 2, 'pairwise_sims': [0.9021727971454636], 'mean_sim': np.float64(0.9021727971454636)}}"
179067,"{'hopen': {'n_occurrences': 2, 'pairwise_sims': [0.9344573017215575], 'mean_sim': np.float64(0.9344573017215575)}, 'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9231238485297921], 'mean_sim': np.float64(0.9231238485297921)}}",{}
179067,"{'zin': {'n_occurrences': 3, 'pairwise_sims': [0.9553553959276784, 0.9680281867856786, 0.951285296821025], 'mean_sim': np.float64(0.958222959844794)}}","{'stress': {'n_occurrences': 2, 'pairwise_sims': [0.9458716007045447], 'mean_sim': np.float64(0.9458716007045447)}}"
179067,{},{}
179067,"{'goed': {'n_occurrences': 5, 'pairwise_sims': [0.9317492538578519, 0.9026481599924546, 0.9132123550775915, 0.9305916598537398, 0.9026015444481483, 0.9464886639891787, 0.9552658293228014, 0.9084902986992536, 0.8869927582426135, 0.9249722050598401], 'mean_sim': np.float64(0.9203012728543472)}}",{}
179067,{},{}
179067,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9291624091479103], 'mean_sim': np.float64(0.9291624091479103)}}",{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,"{'energiek': {'n_occurrences': 2, 'pairwise_sims': [0.962235820506873], 'mean_sim': np.float64(0.962235820506873)}}","{'slecht': {'n_occurrences': 2, 'pairwise_sims': [0.9373228364822596], 'mean_sim': np.float64(0.9373228364822596)}}"
179067,{},"{'stressen': {'n_occurrences': 2, 'pairwise_sims': [0.9633016220052301], 'mean_sim': np.float64(0.9633016220052301)}}"
179067,{},"{'kwaad': {'n_occurrences': 2, 'pairwise_sims': [0.9580497283435501], 'mean_sim': np.float64(0.9580497283435501)}}"
179067,{},{}
179067,"{'dankbaar': {'n_occurrences': 2, 'pairwise_sims': [0.9448040527190266], 'mean_sim': np.float64(0.9448040527190266)}}",{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},"{'verdrietig': {'n_occurrences': 2, 'pairwise_sims': [0.9673903281574929], 'mean_sim': np.float64(0.9673903281574929)}}"
179067,{},{}
179067,{},{}
179067,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9326702726934002], 'mean_sim': np.float64(0.9326702726934002)}}",{}
179067,{},{}
179067,"{'tof': {'n_occurrences': 2, 'pairwise_sims': [0.9064956996234339], 'mean_sim': np.float64(0.9064956996234339)}, 'zin': {'n_occurrences': 2, 'pairwise_sims': [0.9545587506598514], 'mean_sim': np.float64(0.9545587506598514)}}",{}
