connectionId_x,alias,sentBeepId,timeStampStart,typed,valence,arousal,positive_all_words_lemm,positive_all_words_count_lemm,positive_unique_words_lemm,positive_unique_wordcount_lemm,positive_granularity_lemm,negative_all_words_lemm,negative_all_words_count_lemm,negative_unique_words_lemm,negative_unique_wordcount_lemm,negative_granularity_lemm,positive_emotion_all_lemma_count_Shannons,positive_emotion_unique_count_Shannons,unique positive emotion lemmas_Shannons,positive_diversity_Shannons_lem,negative_emotion_all_lemma_count_Shannons,negative_emotion_unique_count_Shannons,unique negative emotion lemmas_Shannons,negative_diversity_Shannons_lem,Segment,WC,posemo,negemo
179067,!jukj haum,14251092,1693562575,0,10,25,"['goed', 'blij', 'vrolijk', 'moed', 'goed', 'positief']",6,"['goed', 'blij', 'vrolijk', 'moed', 'positief']",5,0.043337481,"['hulpeloos', 'irriteren', 'irritatie', 'frustratie', 'irritatie']",5,"['hulpeloos', 'irriteren', 'irritatie', 'frustratie']",4,0.055453654,6,5,"['goed', 'positief', 'blij', 'moed', 'vrolijk']",1.560710409,5,4,"['hulpeloos', 'frustratie', 'irritatie', 'irriteren']",1.33217904,1,135,5.19,2.96
179067,!jukj haum,14252130,1693569649,0,-10,10,"['hopen', 'vertrouwen', 'goed', 'rustig', 'hopen', 'goed']",6,"['hopen', 'vertrouwen', 'goed', 'rustig']",4,0.044877087,"['ziek', 'stressen', 'lastig', 'angstig', 'zenuwachtig', 'boos']",6,"['ziek', 'stressen', 'lastig', 'angstig', 'zenuwachtig', 'boos']",6,0.041263539,6,4,"['vertrouwen', 'goed', 'rustig', 'hopen']",1.329661349,6,6,"['lastig', 'zenuwachtig', 'ziek', 'angstig', 'stressen', 'boos']",1.791759469,1,146,3.42,4.11
179067,!jukj haum,14254062,1693583659,0,30,30,"['excited', 'op_wenden', 'tof', 'zin', 'actief', 'spannend', 'zin', 'goed', 'zin']",9,"['excited', 'op_wenden', 'tof', 'zin', 'actief', 'spannend', 'goed']",7,0.033347027,"['droevig', 'stress', 'stress']",3,"['droevig', 'stress']",2,0.059273113,9,7,"['op_wenden', 'zin', 'spannend', 'goed', 'tof', 'excited', 'actief']",1.831020481,3,2,"['stress', 'droevig']",0.636514168,1,182,1.65,1.1
179067,!jukj haum,14257239,1693600595,1,45,30,"['goed', 'capabel', 'waarderen']",3,"['goed', 'capabel', 'waarderen']",3,0.075734943,['spijt'],1,['spijt'],1,,3,3,"['goed', 'capabel', 'waarderen']",1.098612289,1,1,['spijt'],0,1,50,4,0
179067,!jukj haum,14263785,1693649060,0,40,35,"['blij', 'goed', 'opgewekt', 'goed', 'goed', 'gezelschap', 'tof', 'goed', 'amuseren', 'goed']",10,"['blij', 'goed', 'opgewekt', 'gezelschap', 'tof', 'amuseren']",6,0.025093614,"['boos', 'irriteren']",2,"['boos', 'irriteren']",2,0.110630027,10,6,"['opgewekt', 'amuseren', 'goed', 'blij', 'tof', 'gezelschap']",1.497866137,2,2,"['boos', 'irriteren']",0.693147181,1,186,4.84,1.61
179067,!jukj haum,14265189,1693666307,1,-11,-15,[],0,[],0,,"['ziek', 'stress', 'kop_zorg']",3,"['ziek', 'stress', 'kop_zorg']",3,0.055890029,0,0,[],0,3,3,"['stress', 'ziek', 'kop_zorg']",1.098612289,1,49,2.04,6.12
179067,!jukj haum,14266167,1693672663,0,10,-10,"['goed', 'amuseren', 'tof', 'goed']",4,"['goed', 'amuseren', 'tof']",3,0.063600162,['ernstig'],1,['ernstig'],1,,4,3,"['amuseren', 'goed', 'tof']",1.039720771,1,1,['ernstig'],0,1,147,4.08,1.36
179067,!jukj haum,14268252,1693685237,1,9,-21,[],0,[],0,,"['stressen', 'bang', 'beladen', 'schrik']",4,"['stressen', 'bang', 'beladen', 'schrik']",4,0.066420752,0,0,[],0,4,4,"['beladen', 'bang', 'schrik', 'stressen']",1.386294361,1,62,0,1.61
179067,!jukj haum,14275260,1693740084,1,4,15,"['blij', 'dankbaar']",2,"['blij', 'dankbaar']",2,0.043590162,"['raken', 'stress']",2,"['raken', 'stress']",2,0.094355845,2,2,"['dankbaar', 'blij']",0.693147181,2,2,"['stress', 'raken']",0.693147181,1,76,2.63,1.32
179067,!jukj haum,14276181,1693748926,0,16,15,"['lekker', 'tof', 'goed', 'oké']",4,"['lekker', 'tof', 'goed', 'oké']",4,0.055972125,['stress'],1,['stress'],1,,4,4,"['goed', 'tof', 'lekker', 'oké']",1.386294361,1,1,['stress'],0,1,128,3.13,1.56
